Name,Description,Website
Habitat for Humanity,"Habitat for Humanity builds affordable housing for those in need, aiming to eliminate poverty housing and homelessness.",https://www.habitat.org/
UNICEF,The United Nations Children's Fund provides humanitarian and developmental aid to children worldwide.,https://www.unicef.org/
World Wildlife Fund WWF,"WWF focuses on environmental conservation, protecting endangered species,	and reducing the human impact on the environment.",https://www.worldwildlife.org/
Red Cross/Red Crescent,"These organizations provide emergency assistance, disaster relief, and education in communities worldwide.",https://www.redcross.org/
Amnesty International,"Amnesty International campaigns for human rights and works to protect individuals wherever justice, freedom, truth, and dignity are denied.",https://www.amnesty.org/
Doctors Without Borders Médecins Sans Frontières,"This organization delivers emergency medical aid to people affected by conflict, epidemics, disasters, or exclusion from healthcare.",https://www.msf.org/
The Nature Conservancy,"Focused on conserving the lands and waters on which all life depends, The Nature Conservancy tackles climate change, protects lands and waters, and provides food and water sustainably.",https://www.nature.org/
Save the Children,"Save the Children works in the U.S. and around the world to give children a healthy start in life, the opportunity to learn, and protection from harm.",https://www.savethechildren.org/
Oxfam International,"Oxfam works to alleviate global poverty, fighting inequality to end poverty and injustice.",https://www.oxfam.org/
World Food Programme WFP,"WFP is the leading humanitarian organization saving lives and changing lives, delivering food assistance in emergencies, and working with communities to improve nutrition and build resilience.",https://www.wfp.org/
Plan International,Plan International advances children's rights and equality for girls all over the world.,https://planinternational.org/
International Rescue Committee IRC,"The IRC responds to the world's worst humanitarian crises, helping people to survive, recover, and gain control of their future.",https://www.rescue.org/
Operation Smile,Operation Smile provides free cleft surgeries to children and adults around the world.,https://www.operationsmile.org/
Heifer International,Heifer International works to end hunger and poverty in a sustainable way by supporting and investing alongside local farmers and their communities.,https://www.heifer.org/
Pencils of Promise,Pencils of Promise builds schools and increases educational opportunities in the developing world.,https://pencilsofpromise.org/
Charity: Water,Charity: Water brings clean and safe drinking water to people in developing countries.,https://www.charitywater.org/
Room to Read,Room to Read focuses on literacy and gender equality in education in low income communities.,https:/www.roomtoread.org/
Kiva,Kiva provides microloans to entrepreneurs in underserved communities to help alleviate poverty.,https://www.kiva.org/
International Volunteer HQ IVHQ,"IVHQ offers volunteer abroad programs in various fields like education, health, and conservation.",https://www.volunteerhq.org/
Teach for All,Teach for All is a global network of independent organizations working to expand educational opportunity in their countries.,https://teachforall.org/
WaterAid,"WaterAid works to make clean water, decent toilets, and good hygiene normal for everyone, everywhere.",https://www.wateraid.org/
Project HOPE,"Project HOPE delivers health education, disaster relief, and health system strengthening around the world.",https://www.projecthope.org/
Special Olympics,Special Olympics provides yearround sports training and athletic competition for children and adults with intellectual disabilities.,https://www.specialolympics.org/
WWOOF World Wide Opportunities on Organic Farms,WWOOF connects volunteers with organic farmers and growers to promote cultural and educational experiences based on trust and nonmonetary exchange.,https://wwoof.net/
Global Vision International GVI,"GVI runs high impact volunteer programs across the globe, focusing on conservation, education, and community development.",https://www.gvi.co.uk/
Mercy Corps,Mercy Corps helps people in the world's toughest places survive the crises they confront and turn them into opportunities for progress.,https://www.mercycorps.org/
Action Against Hunger,Action Against Hunger works to save the lives of malnourished children while providing communities with access to safe water and sustainable solutions to hunger.,https://www.actionagainsthunger.org/
GlobalGiving,GlobalGiving connects donors with grassroots projects around the world to make a high impact.,https://www.globalgiving.org/
Earthwatch,Earthwatch engages people in scientific field research and education to promote the understanding and action necessary for a sustainable environment.,https://earthwatch.org/
CrossCultural Solutions,"CrossCultural Solutions provides volunteer programs in health, education, and social services in communities around the world.",https://www.crossculturalsolutions.org/
International Volunteer Programs Association IVPA,IVPA provides resources and connections for individuals seeking international volunteer opportunities.,https://volunteerinternational.org/
Peace Corps,"While typically for older volunteers, the Peace Corps offers some opportunities for younger students to get involved through their programs and partnerships.",https://www.peacecorps.gov/
Crossroads Foundation,Crossroads Foundation connects those in need with those who can help through distribution of donated goods and providing simulation experiences for volunteers.,https://www.crossroads.org.hk/
United Nations Volunteers UNV,"UNV mobilizes volunteers to serve in UN programs and initiatives worldwide, including opportunities for youth.",https://www.unv.org/
GoEco,"GoEco offers volunteer opportunities in various fields such as wildlife conservation, community development, and environmental preservation.",https://www.goeco.org/
Projects Abroad,"Projects Abroad offers a wide range of international volunteer programs tailored to young people, including high school students.",https://www.projectsabroad.org/
Youth Challenge International YCI,"YCI creates youth development and empowerment programs focused on health, the environment, and education.",https://www.yci.org/
Volunteer Forever,Volunteer Forever helps connect people with volunteer programs and provides resources for fundraising and planning international volunteer trips.,https://www.volunteerforever.com/
Volunteers for Peace VFP,VFP offers affordable and meaningful volunteer opportunities in over 100 countries.,https://www.vfp.org/
Volunteering Solutions,"Volunteering Solutions offers a variety of volunteer programs in fields like healthcare, childcare, education, and conservation.",https://www.volunteeringsolutions.com/
Outreach360,Outreach360 provides volunteer opportunities focused on education and community development in Latin America.,https://www.outreach360.org/
Global Volunteers,Global Volunteers offers volunteer programs that focus on community development and cultural exchange.,https://globalvolunteers.org/
Raleigh International,Raleigh International engages volunteers in sustainable development projects focused on environmental conservation and community resilience.,https://raleighinternational.org/
African Impact,"African Impact offers volunteer projects focused on wildlife conservation, community upliftment, and environmental sustainability in Africa.",https://www.africanimpact.com/
AIESEC,"AIESEC provides young people with leadership development, crosscultural internships, and volunteer exchange experiences across the globe.",https://www.aiesec.org/
Street Child,"Street Child works to improve the lives of vulnerable children through education, child protection, and sustainable livelihoods programs.",https://www.streetchild.org/
International Student Volunteers ISV,"ISV offers volunteer programs focused on conservation and community development, combined with adventure travel.",https://www.isvolunteers.org/
Sustainable Bolivia,"Sustainable Bolivia supports sustainable development and community projects, offering various volunteer opportunities.",https://www.sustainablebolivia.org/
The Borgen Project,The Borgen Project fights global poverty and offers volunteer opportunities for advocacy and fundraising.,https://borgenproject.org/
SE7EN,"SE7EN offers volunteer opportunities in conservation, healthcare, and education across various countries.",https://www.se7en.org.uk/
World Teach,World Teach places volunteer teachers in developing countries to improve education standards.,https://www.worldteach.org/
Conservation Volunteers International Program CVIP,CVIP focuses on environmental conservation and restoration projects around the world.,https://conservationvip.org/
Global Citizen Year,Global Citizen Year offers gap year programs that combine international volunteering with leadership development.,https://www.globalcitizenyear.org/
Build Abroad,"Build Abroad focuses on construction projects, building and repairing homes, schools, and other structures in developing communities.",https://www.buildabroad.org/
VSO Voluntary Service Overseas,"VSO brings people together to fight poverty through volunteer work, focusing on education, health, and livelihoods.",https://www.vsointernational.org/
Youth With A Mission YWAM,YWAM is a global movement of Christians from many cultures and age groups dedicated to serving Jesus throughout the world.,https://www.ywam.org/
Globe Aware,Globe Aware designs short term volunteer programs that promote cultural awareness and sustainability.,https://www.globeaware.org/
United Planet,"United Planet offers international volunteer programs that focus on healthcare, education, environmental sustainability, and social development.",https://www.unitedplanet.org/
CISV International,CISV International promotes peace and cross cultural understanding through educational programs for youth.,https://www.cisv.org/
Cross Cultural Experience,Cross Cultural Experience provides volunteer programs that emphasize community service and cultural exchange.,https://www.crossculturalexperience.org/
